Column Name,Data Type,Non-Null Count,Null Count,Unique Values
st_radlim,float64,36020,3295,2
st_mass,float64,33160,6155,1940
st_masserr1,float64,27743,11572,1559
st_masserr2,float64,27588,11727,1517
st_masslim,float64,33167,6148,3
st_met,float64,24812,14503,1237
st_meterr1,float64,24139,15176,497
st_meterr2,float64,24139,15176,523
st_metlim,float64,27123,12192,3
st_metratio,str,24615,14700,3
st_lum,float64,9684,29631,3522
st_lumerr1,float64,4775,34540,1637
st_lumerr2,float64,4720,34595,1638
st_lumlim,float64,9684,29631,2
st_logg,float64,30504,8811,3961
st_loggerr1,float64,25202,14113,1675
st_loggerr2,float64,25201,14114,1799
st_logglim,float64,30504,8811,3
st_age,float64,9669,29646,730
st_ageerr1,float64,9220,30095,810
st_ageerr2,float64,9220,30095,655
st_agelim,float64,21045,18270,3
st_dens,float64,22334,16981,8742
st_denserr1,float64,17630,21685,6520
st_denserr2,float64,17630,21685,6496
st_denslim,float64,24647,14668,1
st_vsin,float64,3403,35912,565
st_vsinerr1,float64,2626,36689,151
st_vsinerr2,float64,2438,36877,150
st_vsinlim,float64,3403,35912,3
st_rotp,float64,1071,38244,485
st_rotperr1,float64,904,38411,211
st_rotperr2,float64,904,38411,208
st_rotplim,float64,1071,38244,3
st_radv,float64,1770,37545,943
st_radverr1,float64,1730,37585,251
st_radverr2,float64,1589,37726,248
st_radvlim,float64,1770,37545,2
sy_refname,str,39265,50,208
rastr,str,39265,50,4545
ra,float64,39265,50,4554
decstr,str,39265,50,4553
dec,float64,39265,50,4550
glat,float64,39265,50,4547
glon,float64,39265,50,4547
elat,float64,39265,50,4547
elon,float64,39265,50,4548
sy_pm,float64,38330,985,4257
sy_pmerr1,float64,38330,985,4227
sy_pmerr2,float64,38325,990,4224
sy_pmra,float64,38330,985,4253
sy_pmraerr1,float64,38330,985,4207
sy_pmraerr2,float64,38325,990,4205
sy_pmdec,float64,38330,985,4253
sy_pmdecerr1,float64,38330,985,4221
sy_pmdecerr2,float64,38325,990,4218
sy_dist,float64,38419,896,4524
sy_disterr1,float64,37562,1753,3965
sy_disterr2,float64,37562,1753,4002
sy_plx,float64,36848,2467,4106
sy_plxerr1,float64,36848,2467,4098
sy_plxerr2,float64,36848,2467,4098
sy_bmag,float64,37809,1506,3362
sy_bmagerr1,float64,37804,1511,438
sy_bmagerr2,float64,37804,1511,438
sy_vmag,float64,38453,862,3209
sy_vmagerr1,float64,38440,875,196
sy_vmagerr2,float64,38439,876,195
sy_jmag,float64,38419,896,3359
sy_jmagerr1,float64,38321,994,120
sy_jmagerr2,float64,38321,994,120
sy_hmag,float64,38448,867,3354
sy_hmagerr1,float64,38310,1005,151
sy_hmagerr2,float64,38310,1005,151
sy_kmag,float64,38445,870,3383
sy_kmagerr1,float64,38203,1112,165
sy_kmagerr2,float64,38203,1112,163
sy_umag,float64,4003,35312,541
sy_umagerr1,float64,4003,35312,543
sy_umagerr2,float64,4003,35312,543
sy_gmag,float64,4003,35312,544
sy_gmagerr1,float64,4003,35312,544
sy_gmagerr2,float64,4003,35312,544
sy_rmag,float64,4003,35312,541
sy_rmagerr1,float64,4003,35312,542
sy_rmagerr2,float64,4003,35312,542
sy_imag,float64,4003,35312,544
sy_imagerr1,float64,4003,35312,542
sy_imagerr2,float64,4003,35312,542
sy_zmag,float64,4003,35312,540
sy_zmagerr1,float64,4003,35312,542
sy_zmagerr2,float64,4003,35312,542
sy_w1mag,float64,36421,2894,3105
sy_w1magerr1,float64,36325,2990,237
sy_w1magerr2,float64,36325,2990,237
sy_w2mag,float64,36422,2893,3111
sy_w2magerr1,float64,36342,2973,154
sy_w2magerr2,float64,36342,2973,154
sy_w3mag,float64,36420,2895,2869
sy_w3magerr1,float64,26873,12442,504
sy_w3magerr2,float64,26873,12442,504
sy_w4mag,float64,36417,2898,1981
sy_w4magerr1,float64,5784,33531,417
sy_w4magerr2,float64,5784,33531,417
sy_gaiamag,float64,38155,1160,4132
sy_gaiamagerr1,float64,38155,1160,1124
sy_gaiamagerr2,float64,38155,1160,1124
sy_icmag,float64,45,39270,26
sy_icmagerr1,float64,40,39275,22
sy_icmagerr2,float64,40,39275,23
sy_tmag,float64,38458,857,4173
sy_tmagerr1,float64,38447,868,579
sy_tmagerr2,float64,38447,868,579
sy_kepmag,float64,31152,8163,1894
sy_kepmagerr1,float64,0,39315,0
sy_kepmagerr2,float64,0,39315,0
rowupdate,str,39264,51,516
pl_pubdate,str,39265,50,304
releasedate,str,39265,50,481
pl_nnotes,float64,39265,50,16
st_nphot,float64,39265,50,35
st_nrvc,float64,39265,50,13
st_nspec,float64,39265,50,12
pl_nespec,float64,39265,50,23
pl_ntranspec,float64,39265,50,19
pl_ndispec,float64,39265,50,6
